"company_id","name"
"INE0KQN01018","Bajel Projects Limited"
"INE296A01024","Bajaj Finance Limited"
"INE0S2G01011","Shree Tirupati Balajee Agro Trading Company Limited"
"INE794B01026","Balaji Telefilms Limited"
"INE050E01027","Balaji Amines Limited"
"INE618N01022","BALAXI PHARMACEUTICALS LIMITED"
"INE875R01011","Balkrishna Paper Mills Limited"
"INE787D01026","Balkrishna Industries Limited"
"INE164A01016","Balmer Lawrie & Company Limited"
"INE083D01012","Bal Pharma Limited"
"INE119A01028","Balrampur Chini Mills Limited"
"INE011E01029","Balu Forge Industries Limited"
"INE655B01011","Banaras Beads Limited"
"INE459A01010","Bannari Amman Sugars Limited"
"INE213C01025","Banco Products (I) Limited"
"INE545U01014","Bandhan Bank Limited"
"INE863I01016","Bang Overseas Limited"
"INE862Y01015","Banka BioLoo Limited"
"INE028A01039","Bank of Baroda"
"INE084A01016","Bank of India"
"INE0B9K01025","Bansal Wire Industries Limited"
"INE629D01020","Banswara Syntex Limited"
"INE382M01027","Barbeque Nation Hospitality Limited"
"INE373A01013","BASF India Limited"
"INE186H01022","Bannari Amman Spinning Mills Limited"
"INE176A01028","Bata India Limited"
"INE462A01022","Bayer Cropscience Limited"
"INE464A01036","Bharat Bijlee Limited"
"INE676A01027","Black Box Limited"
"INE050A01025","Bombay Burmah Trading Corporation Limited"
"INE01EE01011","B&B Triplewall Containers Limited"
"INE412G01024","Bcl Industries Limited"
"INE977Y01011","Brand Concepts Limited"
"INE171Z01026","Bharat Dynamics Limited"
"INE520H01022","Beardsell Limited"
"INE495P01012","Mrs. Bectors Food Specialities Limited"
"INE844K01012","Bedmutha Industries Limited"
"INE263A01024","Bharat Electronics Limited"
"INE258A01016","BEML Limited"
"INE922A01025","Bhansali Engineering Polymers Limited"
"INE463A01038","Berger Paints (I) Limited"
"INE052T01013","Best Agrolife Limited"
"INE878K01010","BF Investment Limited"
"INE243D01012","BF Utilities Limited"
"INE661I01014","BGR Energy Systems Limited"
"INE414D01027","Bhagiradha Chemicals & Industries Limited"
"INE354C01027","Bhageria Industries Limited"
"INE458B01036","Bhagyanagar India Limited"
"INE474E01029","Bhandari Hosiery Exports Limited"
"INE465A01025","Bharat Forge Limited"
"INE561C01019","Bharat Gears Limited"
"INE838B01013","Bharat Rasayan Limited"
"INE415D01024","Bharat Seats Limited"
"INE316L01019","Bharat Wire Ropes Limited"
"INE397D01024","Bharti Airtel Limited"
"INE343G01021","Bharti Hexacom Limited"
"INE257A01026","Bharat Heavy Electricals Limited"
"INE412U01025","Bigbloc Construction Limited"
"INE00E101023","Bikaji Foods International Limited"
"INE828A01016","Bhartiya International Limited"
"INE071A01013","Binani Industries Limited"
"INE376G01013","Biocon Limited"
